nome,lat,long
Alameda Shop & Spot - Porto,"41,16387017","-8,584113425"
Livraria Lello - Porto,"41,14693924","-8,614775978"
Igreja do Carmo - Porto,"41,14736541","-8,616274258"
Palácio da Bolsa - Porto,"41,14139884","-8,615675296"
Ponte Luís I - Porto,"41,13999972","-8,609468356"
Sé do Porto,"41,1429734","-8,611119338"
Igreja de Santo Ildefonso - Porto,"41,1461652","-8,606687049"
Igreja dos Clérigos - Porto,"41,14592135","-8,613961246"
Torre dos Clérigos - Porto,"41,14569212","-8,614600583"
Rua Santa Catarina - Porto,"41,15374209","-8,604620467"
Praça da Liberdade - Porto,"41,14668073","-8,611504384"
Praça da Ribeira - Porto,"41,14065777","-8,613098508"
Jardim da Cordoaria - Porto,"41,14579185","-8,616763673"
Mercado do Bolhão - Porto,"41,14934885","-8,60715372"
Miradouro da Vitória - Porto,"41,14311395","-8,615808887"
Casa da Música - Porto,"41,15904706","-8,630687282"
Praça de Mouzinho de Albuquerque - Porto,"41,1579317","-8,629173427"
Avenida dos Aliados - Porto,"41,14831624","-8,610811961"
Praça de Lisboa - Porto,"41,14627271","-8,614865429"
Mosteiro da Serra do Pilar - Vila Nova de Gaia,"41,13821701","-8,607489148"
Miradouro da Serra do Pilar - Vila Nova de Gaia,"41,13843102","-8,608634301"
Jardim do Morro - Vila Nova de Gaia,"41,13705291","-8,60926948"
Teleférico de Gaia - Vila Nova de Gaia,"41,13739048","-8,616208469"
Zoo Santo Inácio - Vila Nova de Gaia,"41,09274765","-8,537638208"
Páginas Padaria Pastelaria - Guimarães,"41,40303324","-8,223332068"
Restaurante Churrasqueira - Serrinha - Guimarães,"41,40684844","-8,229134518"
Sé Catedral de Viseu,"40,65988923","-7,911064922"
Palácio do Gelo Shopping - Viseu,"40,64365252","-7,911208517"
Painel de Azulejos - Viseu,"40,65785034","-7,913480042"
Museu Grão Vasco - Viseu,"40,66011657","-7,911221371"
Museu do Quartzo - Viseu,"40,69682542","-7,920969228"
Ecopista do Dão - Viseu,"40,66546542","-7,917183577"
Museu Terras de Besteiros - Tondela,"40,51626773","-8,080206713"
Estádio João Cardoso - Tondela,"40,51196717","-8,083013983"
Nossa Senhora da Boa Estrela - Covilhã,"40,32306834","-7,60210003"
Museu de Lanifícios - Covilhã,"40,27714171","-7,506979997"
Museu do Queijo - Covilhã,"40,25745232","-7,38642849"
Estância de Ski da Serra da Estela - Covilhã,"40,3314506","-7,616972481"
Torre da Serra da Estrela - Covilhã,"40,32186196","-7,61381248"
Jardim do Paço Episcopal - Castelo Branco,"39,82792324","-7,494115335"
Piscina Praia - Castelo Branco,"39,81622624","-7,512992015"
Museu Cargaleiro - Castela Branco,"39,82517021","-7,494192088"
Castelo de Castelo Branco,"39,82531763","-7,49653023"
Castelo de Óbidos,"39,36395471","-9,157206235"
Porta do Vale - Óbidos,"39,36199707","-9,156090446"
Igreja de Santa Maria - Óbidos,"39,36197299","-9,156880661"
Castelo de Leiria,"39,74738438","-8,809404489"
Estádio Municipal de Leiria,"39,74882479","-8,813060218"
Jardim Luís de Camões - Leiria,"39,74462867","-8,806335837"
Jardim das Portas do Sol - Santarém,"39,2337607","-8,676030842"
Igreja de Santa Maria da Graça - Santarém,"39,23488741","-8,680410093"
Cidade Velha - Faro,"37,01283525","-7,934114246"
Palácio de Estói - Faro,"37,09660004","-7,895597563"
Igreja do Carmo - Faro,"37,08810132","-8,252694273"
Igreja de Santa Maria - Faro,"37,0133386","-7,934968396"
Forum Algarve - Faro,"37,02893245","-7,944684096"
Museu Municipal de Faro,"37,01299811","-7,933858949"
Cabo de Santa Maria - Faro,"36,96560447","-7,900785011"
Museu de Portimão,"37,13091103","-8,534464527"
Passadiços de Alvor - Portimão,"37,1263933","-8,600309526"
Praia dos Três Irmãos - Portimão,"37,11933949","-8,58041348"
Autódromo Internacional do Algarve - Portimão,"37,23137161","-8,62832765"
Praia do Vau - Portimão,"37,1198873","-8,55905659"
Praia da Rocha - Portimão,"37,11659266","-8,535358417"
Praia dos Três Castelos - Portimão,"37,11733968","-8,546641791"
Praia de Alvor - Portimão,"37,12293815","-8,600620272"
Ponta da Piedade - Lagos,"37,07972685","-8,668638988"
Praia Dona Ana - Lagos,"37,09193948","-8,668994165"
Praia do Camilo - Lagos,"37,08743546","-8,668512912"
Meia Praia - Lagos,"37,11865281","-8,641220629"
Zoo de Lagos,"37,14533636","-8,766503273"
Marina de Lagos,"37,10791507","-8,674075146"
Centro Cultural de Lagos,"37,09988372","-8,671843239"
Praia de São Rafael - Albufeira,"37,07478916","-8,280730102"
Praia da Falésia - Albufeira,"37,08669874","-8,168224653"
Zoomarine - Albufeira,"37,12690989","-8,314263638"
Praia da Oura - Albufeira,"37,08616168","-8,22597696"
Aquashow Park - Loulé,"37,09418094","-8,071251"
